,title,extracted_dataset_sent,
534,Prompt-MIL: Boosting Multi-instance Learning Schemes via Task-Specific Prompt Tuning,"we evaluated the training speed and memory consumption of our method and
compared to the full fine-tuning baseline on four different sized wsis in the
bright dataset.",
535,Prompt-MIL: Boosting Multi-instance Learning Schemes via Task-Specific Prompt Tuning,"foundational models refer to those trained on large-scale pathology datasets
(e.g.",
536,Prompt-MIL: Boosting Multi-instance Learning Schemes via Task-Specific Prompt Tuning,the entire tcga pan-cancer dataset,
537,Prompt-Based Grouping Transformer for Nucleus Detection and Classification,"however, the transformer framework has a relatively large number of parameters,
which could cause high costs in fine-tuning the whole model on large datasets.",
538,Prompt-Based Grouping Transformer for Nucleus Detection and Classification,"inspired by the prompt tuning methods consep 1 [10] is a colorectal nuclear
dataset with three types, consisting of 41 h&e stained image tiles from 16
colorectal adenocarcinoma whole-slide images (wsis).",
539,Prompt-Based Grouping Transformer for Nucleus Detection and Classification,"we split them following the official partition is a breast cancer dataset with
three types and consists of 120 image tiles from 113 patients.",
540,Relaxation-Diffusion Spectrum Imaging for Probing Tissue Microarchitecture,"recent advances in diffusion mri (dmri) and diffusion signal modeling equip
brain researchers with an in vivo probe into microscopic tissue compositions
multi-compartment models are typically used to characterize signals from, for
example, intra-and extra-neurite compartments here, we propose a unified
strategy to estimate using mte diffusion data (i) compartment specific t 2
relaxation times; (ii) non-t 2 -weighted (non-t 2 w) parameters of multi-scale
microstructure; and (iii) non-t 2 w multi-scale fodfs.",
541,Relaxation-Diffusion Spectrum Imaging for Probing Tissue Microarchitecture,"we evaluate rdsi using both ex vivo monkey and in vivo human brain mte data,
acquired with fixed diffusion times across multiple b-values.",
542,atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,"the proposed technique was tested on a healthy-subject dataset and on a dataset
containing tumor cases.",
543,atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,"the first comprises 21 subjects of the human connectome project (hcp) that were
used for testing the automated methods tractseg and classifyber to test the
proposed method on pathological data, we used an in-house dataset containing ten
presurgical scans of patients with brain tumors.",
544,atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,"manual segmentation experiments using an interactive prototype of attractive
were initiated on the tumor data (holistic evaluation).",
545,atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,"additionally, reproducible simulations on the freely available hcp and the
internal tumor dataset were created (algorithmic evaluation).",
546,atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,"the code used for these experiments is publicly available for the algorithmic
evaluation, the initial training dataset was created with 20 randomly selected
streamlines from the whole-brain tractogram, which have been shown to be a
decent number to start training.",
547,atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,"since some tracts contain only a fraction of streamlines from the entire
tractogram, it might be unlikely that the training dataset will contain any
streamline belonging to the target tract.",
548,atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,"therefore, two streamlines of the specific tract were further added to the
training dataset, and class weights were used to compensate for the class
unbalance.",
549,atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,"to ensure that the initial dataset s rand contained streamlines from the target
tract, the expert initiated the active learning workflow by defining a small roi
that included fibers of the tract.",
550,atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,"to allow comparison between the proposed and traditional roi-based techniques,
the or of subjects from the tumor dataset were segmented using both approaches
by an expert familiar with the respective tool, and the time required was
reported to measure efficiency.",
551,atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,"note, in all experiments, the classifier is trained from scratch every
iteration, prototypes are generated for each subject individually, and the
classifier predicts on data from the same subject it is trained with, as it
performs subject-individual tract segmentation and is not used as a fully
automated method.",
552,atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,"to ensure a stable active learning setup that generalizes across different
datasets, the whole method was developed on the hcp and applied with fixed
settings to the tumor data active learning-based white matter tract segmentation
enables the identification of arbitrary pathways and can be applied to cases
where fully automated methods are unfeasible.",
553,atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,"the algorithmic evaluation yielded consistent results from the fifth to the
tenth iterations on both the hcp and tumor datasets.",
554,atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,"as expected, outcomes obtained from the tumor dataset were not quite as good as
those of the hcp dataset.",
555,atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,"this trend is generally observed in clinical datasets, which tend to exhibit
lower performance levels compared to high-quality datasets, which could be
responsible for the decline in the results.",
556,atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,"for selected scenarios, the ability of the classifier to generalize by learning
from previously annotated subjects will be investigated, which may even allow to
train a fully automatic classifier for new tracts once enough data is annotated.",
557,B-Cos Aligned Transformers Learn Human-Interpretable Features,"we classify image patches from the public colorectal cancer dataset
nct-crc-he-100k domain-expert evaluation: our primary objective is to develop an
extension of the vision transformer that is more transparent and trusted by
medical professionals.",
558,Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping,"second, resting-state fmri data are not routinely collected for gbm clinical
practices, which restricts the size of annotated datasets such that it is
infeasible to train a reliable prediction model based on deep learning for
survival prediction.",
559,Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping,"similar to data augmentation schemes, we can artificially boost data volume
(i.e., fln maps) up to m times through producing m fln maps for each patient in
the a-lnm, which helps to mitigate the risk of over-fitting and improve the
performance of overall survival time prediction when learning a deep neural
network from a small sized dataset.",
560,Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping,"to evaluate the predictive power of the fln maps generated by our a-lnm, we
conduct extensive experiments on 235 gbm patients in the training dataset of
brats 2020 2.1 materials gsp1000 processed connectome.",
561,Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping,"it publicly released preprocessed restingstate fmri data of 1000 healthy
right-handed subjects with an average age 21.5 ± 2.9 years and approximately
equal numbers of males and females from the brain genomics superstruct project
(gsp) brats 2020.",
562,Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping,"it provided an open-access pre-operative imaging training dataset to segment
brain tumors of glioblastoma (gbm, belonging to high grade glioma) and low grade
glioma (lgg) patients, as well as to predict overall survival time of gbm
patients the union of all the three tumor sub-regions was considered as the
whole tumor, which is regarded as the lesion in this paper.",
563,Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping,"in this paper, we propose to investigate the feasibility of the novel
neuroimaging features, i.e., fln maps, for overall survival time prediction of
gbm patients in the training dataset of the brats 2020, in which one patient
alive was excluded, and the remaining 235 patients consisted of 89 short-term
survivors (less than 10 months), 59 mid-term survivors (between 10 and 15
months), and 87 long-term survivors (more than 15 months).",
564,Intraoperative CT Augmentation for Needle-Based Liver Interventions,"image fusion typically relies on the estimation of rigid or non-rigid
transformations between 2 images, to bring into the intraoperative image
structures of interest only visible in the preoperative data.",
565,Intraoperative CT Augmentation for Needle-Based Liver Interventions,"our future steps will essentially involve applying this method to patient data
and perform a small user study to evaluate the usefulness and limitations of our
approach.",
566,Optical Coherence Elastography Needle for Biomechanical Characterization of Deep Tissue,"1, using force and position sensor data (see supplementary material).",
567,Pelvic Fracture Segmentation Using a Multi-scale Distance-Weighted Neural Network,none,
568,Towards Multi-modal Anatomical Landmark Detection for Ultrasound-Guided Brain Tumor Resection with Contrastive Learning,"gliomas are the most common central nervous system (cns) tumors in adults,
accounting for 80% of primary malignant brain tumors as the true underlying
deformation from brain shift is impossible to obtain and the differences of
image features between mri and us are large, quantitative validation of
automatic mri-us registration algorithms often rely on homologous anatomical
landmarks that are manually labeled between corresponding mri and
intra-operative us scans previously, many groups have proposed algorithms to
label landmarks in anatomical scans we employed the publicly available
easy-resect (retrospective evaluation of cerebral tumors) dataset",
569,Deep Reinforcement Learning Based System for Intraoperative Hyperspectral Video Autofocusing,none,
570,Surgical Video Captioning with Mutual-Modal Concept Alignment,neurosurgery video captioning dataset.,
571,Surgical Video Captioning with Mutual-Modal Concept Alignment,"to evaluate the effectiveness of surgical video captioning, we collect a
large-scale dataset with 41 surgical videos of endonasal skull base
neurosurgery.",
572,Surgical Video Captioning with Mutual-Modal Concept Alignment,"after necessary data cleaning, we divide these surgical videos with resolution
of 1, 920× 1, 080 into 11, 004 thirty-second video clips with clear surgical
purposes.",
573,Surgical Video Captioning with Mutual-Modal Concept Alignment,"these video clips are annotated under tool-tissue interaction (tti) principle
endovis image captioning dataset.",
574,Surgical Video Captioning with Mutual-Modal Concept Alignment,"we further compare our method with state-of-the-arts on the public endovis-2018
image captioning dataset implementation details.",
575,Regularized Kelvinlet Functions to Model Linear Elasticity for Image-to-Physical Registration of the Breast,"the first explores sensitivity to regularized kelvinlet function hyperparameters
k grab , k twist , ε grab , and ε twist and establishes optimal hyperparameters
in a training dataset of 11 breast deformations.",
576,Regularized Kelvinlet Functions to Model Linear Elasticity for Image-to-Physical Registration of the Breast,"this dataset consists of supine breast mr images simulating surgical
deformations from one breast cancer patient.",
577,Learning Expected Appearances for Intraoperative Registration During Neurosurgery,"we address the important problem of intraoperative patient-to-image registration
in a new way by relying on preoperative data to synthesize plausible
transformations and appearances that are expected to be found intraoperatively.",
578,Learning Expected Appearances for Intraoperative Registration During Neurosurgery,"our experiments using clinical data showed that our method provides accurate
registration without manual intervention, that it is computationally efficient,
and it is invariant to the visual appearance of the cortex.",
579,Dose Guidance for Radiotherapy-Oriented Deep Learning Segmentation,"we present results on a clinical dataset comprising fifty post-operative
glioblastoma (gbm) patients.",
580,FLIm-Based in Vivo Classification of Residual Cancer in the Surgical Cavity During Transoral Robotic Surgery,"the study further compared gods with two other novelty detection models: robust
covariance and, one-class support vector machine (oc-svm) results of a binary
classification model using svm are also shown in the supplementary section table
table the gods uses two separating hyperplanes to minimize the distance between
the two classifiers by learning a low-dimensional subspace containing flim data
properties of healthy labels.",
581,FLIm-Based in Vivo Classification of Residual Cancer in the Surgical Cavity During Transoral Robotic Surgery,"residual tumor labels are detected by calculating the distance between the
projected data points and the learned subspace.",
582,FLIm-Based in Vivo Classification of Residual Cancer in the Surgical Cavity During Transoral Robotic Surgery,"this is mainly due to the robustness of the model, the ability to handle
high-dimensional data, and the contrast in the flim decay curves.",
583,FLIm-Based in Vivo Classification of Residual Cancer in the Surgical Cavity During Transoral Robotic Surgery,"the novelty detection model generalizes to the healthy labels and considers data
falling off the healthy distribution as residual cancer.",
584,FocalErrorNet: Uncertainty-Aware Focal Modulation Network for Inter-modal Registration Error Estimation in Ultrasound-Guided Neurosurgery,"in contrast, intra-operative ultrasound (ius) has gained popularity for
real-time imaging during surgery to monitor tissue deformation and surgical
tools because of its lower cost, portability, and flexibility recently,
automatic quality assessment for medical image registration has attracted
increasing attention for methodological development and assessment, we used the
resect (retro-spective evaluation of cerebral tumors) dataset",
585,Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,"however, it is not trivial to determine this using traditional methods due to
poor textural definition of tissues and lack of per-pixel ground truth depth
data.",
586,Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,"to validate our proposed solution for the newly formulated problem, we acquired
and publicly released two new datasets.",
587,Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,"all data acquisition and devices were controlled by python and labview programs,
and complete data sets of the above images were collected on visually realistic
phantoms for multiple probe and laparoscope positions.",
588,Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,"therefore, our first newly acquired dataset, named jerry, contains 1200 sets of
images.",
589,Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,"since it is important to report errors in 3d and in millimeters, we recorded
another dataset similar to jerry but also including ground truth depth map for
all frames by using structured-lighting system these datasets have multiple uses
such as: -intersection point detection: detecting intersection points is an
important problem that can bring accurate surgical cancer visualization.",
590,Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,"both the hardware and software design of the proposed solution were illustrated
and two newly acquired datasets were publicly released.",
591,Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,"we believe that our problem reformulation and dataset release, together with the
initial experimental results, will establish a new benchmark for the surgical
vision community.",
592,A Novel Video-CTU Registration Method with Structural Point Similarity for FURS Navigation,"to the best of our knowledge, this work shows the first study to continuously
track the flexible ureteroscope in preoperative data using a vision-based
method.",
593,Cascade Transformer Encoded Boundary-Aware Multibranch Fusion Networks for Real-Time and Accurate Colonoscopic Lesion Segmentation,none,
594,Unified Brain MR-Ultrasound Synthesis Using Multi-modal Hierarchical Representations,none,
595,StructuRegNet: Structure-Guided Multimodal 2D-3D Registration,dataset and preprocessing.,
596,StructuRegNet: Structure-Guided Multimodal 2D-3D Registration,"our clinical dataset consists of 108 patients for whom were acquired both a
pre-operative h&n ct scan and 4 to 11 wsis after laryngectomy (with a total
amount of 849 wsis).",
597,StructuRegNet: Structure-Guided Multimodal 2D-3D Registration,"we split the dataset patient-wise into three groups for training (64),
validation hyperparameters.",
598,StructuRegNet: Structure-Guided Multimodal 2D-3D Registration,"we drew our code from cyclegan and voxelmorph implementations with modifications
explained above, and we thank the authors of msv-regsynnet for making their code
and data available to us evaluation.",
599,StructuRegNet: Structure-Guided Multimodal 2D-3D Registration,"according to the mr/ct application in rt, we compared our model against the
state-of-the-art results of msv-regsynnet which were computed on the same
dataset.",
600,StructuRegNet: Structure-Guided Multimodal 2D-3D Registration,"we also compared against msv-regsynnet on its own validation dataset for
generalization assessment: we yielded comparable results for the first cohort
and significantly better ones for the second, which proves that structuregnet
behaves well on other modalities and that the structure awareness is an
essential asset for better registration, as pelvis is a location where organs
are moving.",
601,X2Vision: 3D CT Reconstruction from Biplanar X-Rays with Deep Structure Prior,"we trained our model with a large dataset of 3500 cts of patients with
head-and-neck cancer, more exactly 2297 patients from the publicly available the
cancer imaging archive (tcia) 3d reconstruction.",
602,Structure-Preserving Synthesis: MaskGAN for Unpaired MR-CT Translation,none,
603,FreeSeed: Frequency-Band-Aware and Self-guided Network for Sparse-View CT Reconstruction,"freeseed achieves promising results with only image data and can be further
enhanced once the sinogram is available.",
604,Co-learning Semantic-Aware Unsupervised Segmentation for Pathological Image Registration,"to create such a mapping, we created a pseudo dataset by utilizing images from
the oasis-1 and brats2020.",
605,Co-learning Semantic-Aware Unsupervised Segmentation for Pathological Image Registration,"from the resulting t1 sequences, a pseudo dataset of 300 images was randomly
selected for further analysis.",
606,Co-learning Semantic-Aware Unsupervised Segmentation for Pathological Image Registration,appendix b provides a detailed process for creating the pseudo dataset.,
607,Co-learning Semantic-Aware Unsupervised Segmentation for Pathological Image Registration,real data with landmarks.,
608,Co-learning Semantic-Aware Unsupervised Segmentation for Pathological Image Registration,"after creating the pseudo dataset, we warped brain mr images without tumors to
the atlas and used the resulting deformation field as the gold standard for
evaluation.",
609,Revealing Anatomical Structures in PET to Generate CT for Attenuation Correction,"the data used in our experiments are collected from the cancer image archive
(tcia) each sample contains co-registered (acquired with pet-ct scans) ct, pet,
and nac-pet whole-body scans.",
610,An Explainable Deep Framework: Towards Task-Specific Fusion for Multi-to-One MRI Synthesis,none,
611,Geometric Ultrasound Localization Microscopy,none,
612,Reflectance Mode Fluorescence Optical Tomography with Consumer-Grade Cameras,none,
613,DISA: DIfferentiable Similarity Approximation for Universal Multimodal Registration,"in this experiment, we evaluate the performance of different methods for
estimating affine registration of the retrospective evaluation of cerebral
tumors (resect) miccai challenge dataset as the most challenging experiment, we
finally use our method to achieve deformable registration of abdominal 3d
freehand us to a ct or mr volume.",
614,DISA: DIfferentiable Similarity Approximation for Universal Multimodal Registration,"we are using a heterogeneous dataset of 27 cases, comprising liver cancer
patients and healthy volunteers, different ultrasound machines, as well as
optical vs.",
615,DISA: DIfferentiable Similarity Approximation for Universal Multimodal Registration,"all 3d ultrasound data sets are accurately calibrated, with overall system
errors in the range of commercial ultrasound fusion options.",
616,Solving Low-Dose CT Reconstruction via GAN with Local Coherence,datasets.,
617,Solving Low-Dose CT Reconstruction via GAN with Local Coherence,"first, our proposed approaches are evaluated on the ""mayo-clinic low-dose ct
grand challenge"" (mayo-clinic) dataset of lung ct images the dataset contains
2250 two dimensional slices from 9 patients for training, and the remaining 128
slices from 1 patient are reserved for testing.",
618,Solving Low-Dose CT Reconstruction via GAN with Local Coherence,"to evaluate the generalization of our model, we also consider another dataset
rider with nonsmall cell lung cancer under two ct scans baselines and evaluation
metrics.",
619,Solving Low-Dose CT Reconstruction via GAN with Local Coherence,"to evaluate the stability and generalization of our model and the baselines
trained on mayo-clinic dataset, we also test them on the rider dataset.",
620,Noise2Aliasing: Unsupervised Deep Learning for View Aliasing and Noise Reduction in 4DCBCT,training deep learning models for medical applications often needs new data.,
621,Noise2Aliasing: Unsupervised Deep Learning for View Aliasing and Noise Reduction in 4DCBCT,"this was not the case for noise2aliasing, and historical clinical data sufficed
for training.",
622,Noise2Aliasing: Unsupervised Deep Learning for View Aliasing and Noise Reduction in 4DCBCT,"we validated our method on publicly available data first, we used the spare
varian dataset to study whether noise2aliasing can match the performance of the
supervised baseline and if it can outperform it when adding noise to the
projections.",
623,Noise2Aliasing: Unsupervised Deep Learning for View Aliasing and Noise Reduction in 4DCBCT,"then, we use the internal dataset to explore the requirements for the method to
be applied to an existing clinical dataset.",
624,Noise2Aliasing: Unsupervised Deep Learning for View Aliasing and Noise Reduction in 4DCBCT,"the projections obtained during a scan are sub-sampled according to the
pseudo-average subset selection method described in the datasets used in this
study are two: 1.",
625,Noise2Aliasing: Unsupervised Deep Learning for View Aliasing and Noise Reduction in 4DCBCT,"the spare varian dataset was used to provide performance results on publicly
available patient data.",
626,Noise2Aliasing: Unsupervised Deep Learning for View Aliasing and Noise Reduction in 4DCBCT,"to more closely resemble normal respiratory motion per projection image, the 8
min scan has been used from each patient (five such scans are available in the
dataset).",
627,Noise2Aliasing: Unsupervised Deep Learning for View Aliasing and Noise Reduction in 4DCBCT,the hyperparameters are optimized over the training dataset.,
628,Noise2Aliasing: Unsupervised Deep Learning for View Aliasing and Noise Reduction in 4DCBCT,"an internal dataset (irb approved) of 30 lung cancer patients' 4dcbcts from 2020
to 2022, originally used for igrt, with 25 patients for training and 5 patients
for testing.",
629,Noise2Aliasing: Unsupervised Deep Learning for View Aliasing and Noise Reduction in 4DCBCT,the data were anonymized prior to analysis.,
630,Noise2Aliasing: Unsupervised Deep Learning for View Aliasing and Noise Reduction in 4DCBCT,"projection noise was added using the poisson distribution to the spare varian
dataset to evaluate the ability of the unsupervised method to reduce it.",
631,Trackerless Volume Reconstruction from Intraoperative Ultrasound Images,"3 presents our current results on ex vivo porcine data, and finally, we conclude
in sect.",
632,CoLa-Diff: Conditional Latent Diffusion Model for Multi-modal MRI Synthesis,"magnetic resonance imaging (mri) is critical to the diagnosis, treatment, and
follow-up of brain tumour patients management despite the success, gan-based
models are challenged by the limited capability of adversarial learning in
modelling complex multi-modal data distributions diffusion model (dm) has
achieved state-of-the-art performance in synthesizing natural images, promising
to improve mri synthesis models.",
633,LightNeuS: Neural Surface Reconstruction in Endoscopy Using Illumination Decline,none,
