,Title,Authors,Page numbers,DOI,Year of publication,Part of publication
485,CTFlow: Mitigating Effects of Computed Tomography Acquisition and Reconstruction with Normalizing Flows,"Leihao Wei, Anil Yadav, William Hsu",413-422,10.1007/978-3-031-43990-2_39,2023,07
486,Automated CT Lung Cancer Screening Workflow Using 3D Camera,"Brian Teixeira, Vivek Singh, Birgi Tamersoy, Andreas Prokein, Ankur Kapoor",423-431,10.1007/978-3-031-43990-2_40,2023,07
487,Speech Audio Synthesis from Tagged MRI and Non-negative Matrix Factorization via Plastic Transformer,"Xiaofeng Liu, Fangxu Xing, Maureen Stone, Jiachen Zhuo, Sidney Fels, Jerry L. Prince et al.",435-445,10.1007/978-3-031-43990-2_41,2023,07
488,Robust Hough and Spatial-To-Angular Transform Based Rotation Estimation for Orthopedic X-Ray Images,"Magdalena Bachmaier, Maximilian Rohleder, Benedict Swartman, Maxim Privalov, Andreas Maier, Holger Kunze",446-455,10.1007/978-3-031-43990-2_42,2023,07
489,3D Dental Mesh Segmentation Using Semantics-Based Feature Learning with Graph-Transformer,"Fan Duan, Li Chen",456-465,10.1007/978-3-031-43990-2_43,2023,07
490,Full Image-Index Remainder Based Single Low-Dose DR/CT Self-supervised Denoising,"Yifei Long, Jiayi Pan, Yan Xi, Jianjia Zhang, Weiwen Wu",466-475,10.1007/978-3-031-43990-2_44,2023,07
491,Shape-Based Pose Estimation for Automatic Standard Views of the Knee,"Lisa Kausch, Sarina Thomas, Holger Kunze, Jan Siad El Barbari, Klaus H. Maier-Hein",476-486,10.1007/978-3-031-43990-2_45,2023,07
492,Optimizing the 3D Plate Shape for Proximal Humerus Fractures,"Marilyn Keller, Marcell Krall, James Smith, Hans Clement, Alexander M. Kerner, Andreas Gradischar et al.",487-496,10.1007/978-3-031-43990-2_46,2023,07
493,MSKdeX: Musculoskeletal (MSK) Decomposition from an X-Ray Image for Fine-Grained Estimation of Lean Muscle Mass and Muscle Volume,"Yi Gu, Yoshito Otake, Keisuke Uemura, Masaki Takao, Mazen Soufi, Yuta Hiasa et al.",497-507,10.1007/978-3-031-43990-2_47,2023,07
494,Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,"Yihua Sun, Hee Guan Khor, Sijuan Huang, Qi Chen, Shaobin Wang, Xin Yang et al.",511-520,10.1007/978-3-031-43990-2_48,2023,07
495,Self-feedback Transformer: A Multi-label Diagnostic Model for Real-World Pancreatic Neuroendocrine Neoplasms Data,"Mingyu Wang, Yi Li, Bin Huang, Chenglang Yuan, Yangdi Wang, Yanji Luo et al.",521-530,10.1007/978-3-031-43990-2_49,2023,07
496,Anatomy-Informed Data Augmentation for Enhanced Prostate Cancer Detection,"Balint Kovacs, Nils Netzer, Michael Baumgartner, Carolin Eith, Dimitrios Bounias, Clara Meinzer et al.",531-540,10.1007/978-3-031-43990-2_50,2023,07
497,Clinical Evaluation of AI-Assisted Virtual Contrast Enhanced MRI in Primary Gross Tumor Volume Delineation for Radiotherapy of Nasopharyngeal Carcinoma,"Wen Li, Dan Zhao, Zhi Chen, Zhou Huang, Saikit Lam, Yaoqin Xie et al.",541-550,10.1007/978-3-031-43990-2_51,2023,07
498,Multi-task Learning of Histology and Molecular Markers for Classifying Diffuse Glioma,"Xiaofei Wang, Stephen Price, Chao Li",551-561,10.1007/978-3-031-43990-2_52,2023,07
499,Bridging Ex-Vivo Training and Intra-operative Deployment for Surgical Margin Assessment with Evidential Graph Transformer,"Amoon Jamzad, Fahimeh Fooladgar, Laura Connolly, Dilakshan Srikanthan, Ayesha Syeda, Martin Kaufmann et al.",562-571,10.1007/978-3-031-43990-2_53,2023,07
500,Probabilistic Modeling Ensemble Vision Transformer Improves Complex Polyp Segmentation,"Tianyi Ling, Chengyi Wu, Huan Yu, Tian Cai, Da Wang, Yincong Zhou et al.",572-581,10.1007/978-3-031-43990-2_54,2023,07
501,Retinal Thickness Prediction from Multi-modal Fundus Photography,"Yihua Sun, Dawei Li, Seongho Kim, Ya Xing Wang, Jinyuan Wang, Tien Yin Wong et al.",585-595,10.1007/978-3-031-43990-2_55,2023,07
502,Reliable Multimodality Eye Disease Screening via Mixture of Students t Distributions,"Ke Zou, Tian Lin, Xuedong Yuan, Haoyu Chen, Xiaojing Shen, Meng Wang et al.",596-606,10.1007/978-3-031-43990-2_56,2023,07
503,Polar-Net: A Clinical-Friendly Model for Alzheimers Disease Detection in OCTA Images,"Shouyue Liu, Jinkui Hao, Yanwu Xu, Huazhu Fu, Xinyu Guo, Jiang Liu et al.",607-617,10.1007/978-3-031-43990-2_57,2023,07
504,Context-Aware Pseudo-label Refinement for Source-Free Domain Adaptive Fundus Image Segmentation,"Zheang Huai, Xinpeng Ding, Yi Li, Xiaomeng Li",618-628,10.1007/978-3-031-43990-2_58,2023,07
505,Retinal Age Estimation with Temporal Fundus Images Enhanced Progressive Label Distribution Learning,"Zhen Yu, Ruiye Chen, Peng Gui, Lie Ju, Xianwen Shang, Zhuoting Zhu et al.",629-638,10.1007/978-3-031-43990-2_59,2023,07
506,Fundus-Enhanced Disease-Aware Distillation Model for Retinal Disease Classification from OCT Images,"Lehan Wang, Weihang Dai, Mei Jin, Chubin Ou, Xiaomeng Li",639-648,10.1007/978-3-031-43990-2_60,2023,07
507,VF-HM: Vision Loss Estimation Using Fundus Photograph for High Myopia,"Zipei Yan, Dong Liang, Linchuan Xu, Jiahang Li, Zhengji Liu, Shuai Wang et al.",649-659,10.1007/978-3-031-43990-2_61,2023,07
508,Content-Preserving Diffusion Model for Unsupervised AS-OCT Image Despeckling,"Sanqian Li, Risa Higashita, Huazhu Fu, Heng Li, Jingxuan Niu, Jiang Liu",660-670,10.1007/978-3-031-43990-2_62,2023,07
509,Lesion-Aware Contrastive Learning for Diabetic Retinopathy Diagnosis,"Shuai Cheng, Qingshan Hou, Peng Cao, Jinzhu Yang, Xiaoli Liu, Osmar R. Zaiane",671-681,10.1007/978-3-031-43990-2_63,2023,07
510,Efficient Spatiotemporal Learning of Microscopic Video for Augmented Reality-Guided Phacoemulsification Cataract Surgery,"Puxun Tu, Hongfei Ye, Jeff Young, Meng Xie, Ce Zheng, Xiaojun Chen",682-692,10.1007/978-3-031-43990-2_64,2023,07
511,Revolutionizing Space Health (Swin-FSR): Advancing Super-Resolution of Fundus Images for SANS Visual Assessment Technology,"Khondker Fariha Hossain, Sharif Amit Kamran, Joshua Ong, Andrew G. Lee, Alireza Tavakkoli",693-703,10.1007/978-3-031-43990-2_65,2023,07
512,"Representation, Alignment, Fusion: A Generic Transformer-Based Framework for Multi-modal Glaucoma Recognition","You Zhou, Gang Yang, Yang Zhou, Dayong Ding, Jianchun Zhao",704-713,10.1007/978-3-031-43990-2_66,2023,07
513,A Modulatory Elongated Model for Delineating Retinal Microvasculature in OCTA Images,"Mohsin Challoob, Yongsheng Gao, Andrew Busch, Weichuan Zhang",714-723,10.1007/978-3-031-43990-2_67,2023,07
514,Clustering Disease Trajectories in Contrastive Feature Space for Biomarker Proposal in Age-Related Macular Degeneration,"Robbie Holland, Oliver Leingang, Christopher Holmes, Philipp Anders, Rebecca Kaye, Sophie Riedl et al.",724-734,10.1007/978-3-031-43990-2_68,2023,07
515,Incomplete Multimodal Learning for Visual Acuity Prediction After Cataract Surgery Using Masked Self-Attention,"Qian Zhou, Hua Zou, Haifeng Jiang, Yong Wang",735-744,10.1007/978-3-031-43990-2_69,2023,07
516,UWAT-GAN: Fundus Fluorescein Angiography Synthesis via Ultra-Wide-Angle Transformation Multi-scale GAN,"Zhaojie Fang, Zhanghao Chen, Pengxue Wei, Wangting Li, Shaochong Zhang, Ahmed Elazab et al.",745-755,10.1007/978-3-031-43990-2_70,2023,07
517,Topology-Preserving Automatic Labeling of Coronary Arteries via Anatomy-Aware Connection Classifier,"Zhixing Zhang, Ziwei Zhao, Dong Wang, Shishuang Zhao, Yuhang Liu, Jia Liu et al.",759-769,10.1007/978-3-031-43990-2_71,2023,07
518,AngioMoCo: Learning-Based Motion Correction in Cerebral Digital Subtraction Angiography,"Ruisheng Su, Matthijs van der Sluijs, Sandra Cornelissen, Wim van Zwam, Aad van der Lugt, Wiro Niessen et al.",770-780,10.1007/978-3-031-43990-2_72,2023,07
519,CenterlinePointNet++: A New Point Cloud Based Architecture for Coronary Artery Pressure Drop and vFFR Estimation,"Patryk Rygiel, Pawel Pluszka, Maciej Zieba, Tomasz Konopczynski",781-790,10.1007/978-3-031-43990-2_73,2023,07
520,SPR-Net: Structural Points Based Registration for Coronary Arteries Across Systolic and Diastolic Phases,"Xiao Zhang, Feihong Liu, Yuning Gu, Xiaosong Xiong, Caiwen Jiang, Jun Feng et al.",791-801,10.1007/978-3-031-43990-2_74,2023,07
521,WarpEM: Dynamic Time Warping for Accurate Catheter Registration in EM-Guided Procedures,"Ardit Ramadani, Peter Ewert, Heribert Schunkert, Nassir Navab",802-811,10.1007/978-3-031-43990-2_75,2023,07
522,CoactSeg: Learning from Heterogeneous Data for New Multiple Sclerosis Lesion Segmentation,"Yicheng Wu, Zhonghua Wu, Hengcan Shi, Bjoern Picker, Winston Chong, Jianfei Cai",3-13,10.1007/978-3-031-43993-3_1,2023,08
523,Generating Realistic Brain MRIs via a Conditional Diffusion Probabilistic Model,"Wei Peng, Ehsan Adeli, Tomas Bosschieter, Sang Hyun Park, Qingyu Zhao, Kilian M. Pohl",14-24,10.1007/978-3-031-43993-3_2,2023,08
524,Towards Accurate Microstructure Estimation via 3D Hybrid Graph Transformer,"Junqing Yang, Haotian Jiang, Tewodros Tassew, Peng Sun, Jiquan Ma, Yong Xia et al.",25-34,10.1007/978-3-031-43993-3_3,2023,08
525,Cortical Analysis of Heterogeneous Clinical Brain MRI Scans for Large-Scale Neuroimaging Studies,"Karthik Gopinath, Douglas N. Greve, Sudeshna Das, Steve Arnold, Colin Magdamo, Juan Eugenio Iglesias",35-45,10.1007/978-3-031-43993-3_4,2023,08
526,Flow-Based Geometric Interpolation of Fiber Orientation Distribution Functions,"Xinyu Nie, Yonggang Shi",46-55,10.1007/978-3-031-43993-3_5,2023,08
527,Learnable Subdivision Graph Neural Network for Functional Brain Network Analysis and Interpretable Cognitive Disorder Diagnosis,"Dongdong Chen, Mengjun Liu, Zhenrong Shen, Xiangyu Zhao, Qian Wang, Lichi Zhang",56-66,10.1007/978-3-031-43993-3_6,2023,08
528,FE-STGNN: Spatio-Temporal Graph Neural Network with Functional and Effective Connectivity Fusion for MCI Diagnosis,"Dongdong Chen, Lichi Zhang",67-76,10.1007/978-3-031-43993-3_7,2023,08
529,Learning Normal Asymmetry Representations for Homologous Brain Structures,"Duilio Deangeli, Emmanuel Iarussi, Juan Pablo Princich, Mariana Bendersky, Ignacio Larrabide, José Ignacio Orlando",77-87,10.1007/978-3-031-43993-3_8,2023,08
530,Simulation of Arbitrary Level Contrast Dose in MRI Using an Iterative Global Transformer Model,"Dayang Wang, Srivathsa Pasumarthi, Greg Zaharchuk, Ryan Chamberlain",88-98,10.1007/978-3-031-43993-3_9,2023,08
531,Development and Fast Transferring of General Connectivity-Based Diagnosis Model to New Brain Disorders with Adaptive Graph Meta-Learner,"Yuxiao Liu, Mianxin Liu, Yuanwang Zhang, Dinggang Shen",99-108,10.1007/978-3-031-43993-3_10,2023,08
532,Brain Anatomy-Guided MRI Analysis for Assessing Clinical Progression of Cognitive Impairment with Structural MRI,"Lintao Zhang, Jinjian Wu, Lihong Wang, Li Wang, David C. Steffens, Shijun Qiu et al.",109-119,10.1007/978-3-031-43993-3_11,2023,08
533,Dynamic Structural Brain Network Construction by Hierarchical Prototype Embedding GCN Using T1-MRI,"Yilin Leng, Wenju Cui, Chen Bai, Zirui Chen, Yanyan Zheng, Jian Zheng",120-130,10.1007/978-3-031-43993-3_12,2023,08
534,Microstructure Fingerprinting for Heterogeneously Oriented Tissue Microenvironments,"Khoi Minh Huynh, Ye Wu, Sahar Ahmad, Pew-Thian Yap",131-141,10.1007/978-3-031-43993-3_13,2023,08
535,AUA-dE: An Adaptive Uncertainty Guided Attention for Diffusion MRI Models Estimation,"Tianshu Zheng, Ruicheng Ba, Xiaoli Wang, Chuyang Ye, Dan Wu",142-151,10.1007/978-3-031-43993-3_14,2023,08
536,Relaxation-Diffusion Spectrum Imaging for Probing Tissue Microarchitecture,"Ye Wu, Xiaoming Liu, Xinyuan Zhang, Khoi Minh Huynh, Sahar Ahmad, Pew-Thian Yap",152-162,10.1007/978-3-031-43993-3_15,2023,08
537,Joint Representation of Functional and Structural Profiles for Identifying Common and Consistent 3-Hinge Gyral Folding Landmark,"Shu Zhang, Ruoyang Wang, Yanqing Kang, Sigang Yu, Huawen Hu, Haiyang Zhang",163-172,10.1007/978-3-031-43993-3_16,2023,08
538,Single-subject Multi-contrast MRI Super-resolution via Implicit Neural Representations,"Julian McGinnis, Suprosanna Shit, Hongwei Bran Li, Vasiliki Sideri-Lampretsa, Robert Graf, Maik Dannecker et al.",173-183,10.1007/978-3-031-43993-3_17,2023,08
539,DeepSOZ: A Robust Deep Model for Joint Temporal and Spatial Seizure Onset Localization from Multichannel EEG Data,"Deeksha M. Shama, Jiasen Jing, Archana Venkataraman",184-194,10.1007/978-3-031-43993-3_18,2023,08
540,Multimodal Brain Age Estimation Using Interpretable Adaptive Population-Graph Learning,"Kyriaki-Margarita Bintsi, Vasileios Baltatzis, Rolandos Alexandros Potamias, Alexander Hammers, Daniel Rueckert",195-204,10.1007/978-3-031-43993-3_19,2023,08
541,BrainUSL: Unsupervised Graph Structure Learning for Functional Brain Network Analysis,"Pengshuai Zhang, Guangqi Wen, Peng Cao, Jinzhu Yang, Jinyu Zhang, Xizhe Zhang et al.",205-214,10.1007/978-3-031-43993-3_20,2023,08
542,Learning Asynchronous Common and Individual Functional Brain Network for AD Diagnosis,"Xiang Tang, Xiaocai Zhang, Mengting Liu, Jianjia Zhang",215-225,10.1007/978-3-031-43993-3_21,2023,08
543,Self-pruning Graph Neural Network for Predicting Inflammatory Disease Activity in Multiple Sclerosis from Brain MR Images,"Chinmay Prabhakar, Hongwei Bran Li, Johannes C. Paetzold, Timo Loehr, Chen Niu, Mark Mühlau et al.",226-236,10.1007/978-3-031-43993-3_22,2023,08
544,atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,"Robin Peretzke, Klaus H. Maier-Hein, Jonas Bohn, Yannick Kirchhoff, Saikat Roy, Sabrina Oberli-Palma et al.",237-246,10.1007/978-3-031-43993-3_23,2023,08
545,Domain-Agnostic Segmentation of Thalamic Nuclei from Joint Structural and Diffusion MRI,"Henry F. J. Tregidgo, Sonja Soskic, Mark D. Olchanyi, Juri Althonayan, Benjamin Billot, Chiara Maffei et al.",247-257,10.1007/978-3-031-43993-3_24,2023,08
546,Neural Pre-processing: A Learning Framework for End-to-End Brain MRI Pre-processing,"Xinzi He, Alan Q. Wang, Mert R. Sabuncu",258-267,10.1007/978-3-031-43993-3_25,2023,08
547,Dynamic Functional Connectome Harmonics,"Hoyt Patrick Taylor IV, Pew-Thian Yap",268-276,10.1007/978-3-031-43993-3_26,2023,08
548,Wasserstein Distance-Preserving Vector Space of Persistent Homology,"Tananun Songdechakraiwut, Bryan M. Krause, Matthew I. Banks, Kirill V. Nourski, Barry D. Van Veen",277-286,10.1007/978-3-031-43993-3_27,2023,08
549,Community-Aware Transformer for Autism Prediction in fMRI Connectome,"Anushree Bannadabhavi, Soojin Lee, Wenlong Deng, Rex Ying, Xiaoxiao Li",287-297,10.1007/978-3-031-43993-3_28,2023,08
550,Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping,"Xingcan Hu, Li Xiao, Xiaoyan Sun, Feng Wu",298-307,10.1007/978-3-031-43993-3_29,2023,08
551,Exploring Brain Function-Structure Connectome Skeleton via Self-supervised Graph-Transformer Approach,"Yanqing Kang, Ruoyang Wang, Enze Shi, Jinru Wu, Sigang Yu, Shu Zhang",308-317,10.1007/978-3-031-43993-3_30,2023,08
552,Vertex Correspondence in Cortical Surface Reconstruction,"Anne-Marie Rickmann, Fabian Bongratz, Christian Wachinger",318-327,10.1007/978-3-031-43993-3_31,2023,08
553,Path-Based Heterogeneous Brain Transformer Network for Resting-State Functional Connectivity Analysis,"Ruiyan Fang, Yu Li, Xin Zhang, Shengxian Chen, Jiale Cheng, Xiangmin Xu et al.",328-337,10.1007/978-3-031-43993-3_32,2023,08
554,Dynamic Graph Neural Representation Based Multi-modal Fusion Model for Cognitive Outcome Prediction in Stroke Cases,"Shuting Liu, Baochang Zhang, Rong Fang, Daniel Rueckert, Veronika A. Zimmer",338-347,10.1007/978-3-031-43993-3_33,2023,08
555,Predicting Diverse Functional Connectivity from Structural Connectivity Based on Multi-contexts Discriminator GAN,"Xiang Gao, Xin Zhang, Lu Zhang, Xiangmin Xu, Dajiang Zhu",348-357,10.1007/978-3-031-43993-3_34,2023,08
556,DeepGraphDMD: Interpretable Spatio-Temporal Decomposition of Non-linear Functional Brain Network Dynamics,"Md Asadullah Turja, Martin Styner, Guorong Wu",358-368,10.1007/978-3-031-43993-3_35,2023,08
557,Disentangling Site Effects with Cycle-Consistent Adversarial Autoencoder for Multi-site Cortical Data Harmonization,"Fenqiang Zhao, Zhengwang Wu, Dajiang Zhu, Tianming Liu, John Gilmore, Weili Lin et al.",369-379,10.1007/978-3-031-43993-3_36,2023,08
558,SurfFlow: A Flow-Based Approach for Rapid and Accurate Cortical Surface Reconstruction from Infant Brain MRI,"Xiaoyang Chen, Junjie Zhao, Siyuan Liu, Sahar Ahmad, Pew-Thian Yap",380-388,10.1007/978-3-031-43993-3_37,2023,08
559,Prior-Driven Dynamic Brain Networks for Multi-modal Emotion Recognition,"Chuhang Zheng, Wei Shao, Daoqiang Zhang, Qi Zhu",389-398,10.1007/978-3-031-43993-3_38,2023,08
560,Unified Surface and Volumetric Inference on Functional Imaging Data,"Thomas F. Kirk, Martin S. Craig, Michael A. Chappell",399-408,10.1007/978-3-031-43993-3_39,2023,08
561,TractCloud: Registration-Free Tractography Parcellation with a Novel Local-Global Streamline Point Cloud Representation,"Tengfei Xue, Yuqian Chen, Chaoyi Zhang, Alexandra J. Golby, Nikos Makris, Yogesh Rathi et al.",409-419,10.1007/978-3-031-43993-3_40,2023,08
562,Robust and Generalisable Segmentation of Subtle Epilepsy-Causing Lesions: A Graph Convolutional Approach,"Hannah Spitzer, Mathilde Ripart, Abdulah Fawaz, Logan Z. J. Williams, MELD Project, Emma C. Robinson et al.",420-428,10.1007/978-3-031-43993-3_41,2023,08
563,Weakly Supervised Cerebellar Cortical Surface Parcellation with Self-Visual Representation Learning,"Zhengwang Wu, Jiale Cheng, Fenqiang Zhao, Ya Wang, Yue Sun, Dajiang Zhu et al.",429-438,10.1007/978-3-031-43993-3_42,2023,08
564,Maximum-Entropy Estimation of Joint Relaxation-Diffusion Distribution Using Multi-TE Diffusion MRI,Lipeng Ning,439-448,10.1007/978-3-031-43993-3_43,2023,08
565,Physics-Informed Conditional Autoencoder Approach for Robust Metabolic CEST MRI at 7T,"Junaid R. Rajput, Tim A. Möhle, Moritz S. Fabian, Angelika Mennecke, Jochen A. Sembill, Joji B. Kuramatsu et al.",449-458,10.1007/978-3-031-43993-3_44,2023,08
566,A Coupled-Mechanisms Modelling Framework for Neurodegeneration,"Tiantian He, Elinor Thompson, Anna Schroder, Neil P. Oxtoby, Ahmed Abdulaal, Frederik Barkhof et al.",459-469,10.1007/978-3-031-43993-3_45,2023,08
567,A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,"Weiguo Cao, Benjamin Howe, Nicholas Rhodes, Sumana Ramanathan, Panagiotis Korfiatis, Kimberly Amrami et al.",470-480,10.1007/978-3-031-43993-3_46,2023,08
568,Mitosis Detection from Partial Annotation by Dataset Generation via Frame-Order Flipping,"Kazuya Nishimura, Ami Katanaya, Shinichiro Chuma, Ryoma Bise",483-492,10.1007/978-3-031-43993-3_47,2023,08
569,CircleFormer: Circular Nuclei Detection in Whole Slide Images with Circle Queries and Attention,"Hengxu Zhang, Pengpeng Liang, Zhiyong Sun, Bo Song, Erkang Cheng",493-502,10.1007/978-3-031-43993-3_48,2023,08
570,A Motion Transformer for Single Particle Tracking in Fluorescence Microscopy Images,"Yudong Zhang, Ge Yang",503-513,10.1007/978-3-031-43993-3_49,2023,08
571,B-Cos Aligned Transformers Learn Human-Interpretable Features,"Manuel Tran, Amal Lahiani, Yashin Dicente Cid, Melanie Boxberg, Peter Lienemann, Christian Matek et al.",514-524,10.1007/978-3-031-43993-3_50,2023,08
572,PMC-CLIP: Contrastive Language-Image Pre-training Using Biomedical Documents,"Weixiong Lin, Ziheng Zhao, Xiaoman Zhang, Chaoyi Wu, Ya Zhang, Yanfeng Wang et al.",525-536,10.1007/978-3-031-43993-3_51,2023,08
573,Self-supervised Dense Representation Learning for Live-Cell Microscopy with Time Arrow Prediction,"Benjamin Gallusser, Max Stieber, Martin Weigert",537-547,10.1007/978-3-031-43993-3_52,2023,08
574,Learning Large Margin Sparse Embeddings for Open Set Medical Diagnosis,"Mingyuan Liu, Lu Xu, Jicong Zhang",548-558,10.1007/978-3-031-43993-3_53,2023,08
575,Exploring Unsupervised Cell Recognition with Prior Self-activation Maps,"Pingyi Chen, Chenglu Zhu, Zhongyi Shui, Jiatong Cai, Sunyi Zheng, Shichuan Zhang et al.",559-568,10.1007/978-3-031-43993-3_54,2023,08
576,Prompt-Based Grouping Transformer for Nucleus Detection and Classification,"Junjia Huang, Haofeng Li, Weijun Sun, Xiang Wan, Guanbin Li",569-579,10.1007/978-3-031-43993-3_55,2023,08
577,PAS-Net: Rapid Prediction of Antibiotic Susceptibility from Fluorescence Images of Bacterial Cells Using Parallel Dual-Branch Network,"Wei Xiong, Kaiwei Yu, Liang Yang, Baiying Lei",580-591,10.1007/978-3-031-43993-3_56,2023,08
578,Diffusion-Based Data Augmentation for Nuclei Image Segmentation,"Xinyi Yu, Guanbin Li, Wei Lou, Siqi Liu, Xiang Wan, Yan Chen et al.",592-602,10.1007/978-3-031-43993-3_57,2023,08
579,Unsupervised Learning for Feature Extraction and Temporal Alignment of 3D+t Point Clouds of Zebrafish Embryos,"Zhu Chen, Ina Laube, Johannes Stegmaier",603-612,10.1007/978-3-031-43993-3_58,2023,08
580,3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,"Omkar Thawakar, Rao Muhammad Anwer, Jorma Laaksonen, Orly Reiner, Mubarak Shah, Fahad Shahbaz Khan",613-623,10.1007/978-3-031-43993-3_59,2023,08
581,Prompt-MIL: Boosting Multi-instance Learning Schemes via Task-Specific Prompt Tuning,"Jingwei Zhang, Saarthak Kapse, Ke Ma, Prateek Prasanna, Joel Saltz, Maria Vakalopoulou et al.",624-634,10.1007/978-3-031-43993-3_60,2023,08
582,Pick and Trace: Instance Segmentation for Filamentous Objects with a Recurrent Neural Network,"Yi Liu, Su Peng, Jeffrey Caplan, Chandra Kambhamettu",635-645,10.1007/978-3-031-43993-3_61,2023,08
583,BigFUSE: Global Context-Aware Image Fusion in Dual-View Light-Sheet Fluorescence Microscopy with Image Formation Prior,"Yu Liu, Gesine Müller, Nassir Navab, Carsten Marr, Jan Huisken, Tingying Peng",646-655,10.1007/978-3-031-43993-3_62,2023,08
584,LUCYD: A Feature-Driven Richardson-Lucy Deconvolution Network,"Tomá Chobola, Gesine Müller, Veit Dausmann, Anton Theileis, Jan Taucher, Jan Huisken et al.",656-665,10.1007/978-3-031-43993-3_63,2023,08
585,Deep Unsupervised Clustering for Conditional Identification of Subgroups Within a Digital Pathology Image Set,"Mariia Sidulova, Xudong Sun, Alexej Gossmann",666-675,10.1007/978-3-031-43993-3_64,2023,08
586,Weakly-Supervised Drug Efficiency Estimation with Confidence Score: Application to COVID-19 Drug Discovery,"Nahal Mirzaie, Mohammad V. Sanian, Mohammad H. Rohban",676-685,10.1007/978-3-031-43993-3_65,2023,08
587,UXDiff: Synthesis of X-Ray Image from Ultrasound Coronal Image of Spine with Diffusion Probabilistic Network,"Yihao Zhou, Chonglin Wu, Xinyi Wang, Yongping Zheng",3-12,10.1007/978-3-031-43996-4_1,2023,09
588,EndoSurf: Neural Surface Reconstruction of Deformable Tissues with Stereo Endoscope Videos,"Ruyi Zha, Xuelian Cheng, Hongdong Li, Mehrtash Harandi, Zongyuan Ge",13-23,10.1007/978-3-031-43996-4_2,2023,09
589,Surgical Video Captioning with Mutual-Modal Concept Alignment,"Zhen Chen, Qingyu Guo, Leo K. T. Yeung, Danny T. M. Chan, Zhen Lei, Hongbin Liu et al.",24-34,10.1007/978-3-031-43996-4_3,2023,09
590,SEDSkill: Surgical Events Driven Method for Skill Assessment from Thoracoscopic Surgical Videos,"Xinpeng Ding, Xiaowei Xu, Xiaomeng Li",35-45,10.1007/978-3-031-43996-4_4,2023,09
591,Neural LerPlane Representations for Fast 4D Reconstruction of Deformable Tissues,"Chen Yang, Kailing Wang, Yuehao Wang, Xiaokang Yang, Wei Shen",46-56,10.1007/978-3-031-43996-4_5,2023,09
592,SegmentOR: Obtaining Efficient Operating Room Semantics Through Temporal Propagation,"Lennart Bastian, Daniel Derkacz-Bogner, Tony D. Wang, Benjamin Busam, Nassir Navab",57-67,10.1007/978-3-031-43996-4_6,2023,09
593,Revisiting Distillation for Continual Learning on Visual Question Localized-Answering in Robotic Surgery,"Long Bai, Mobarakol Islam, Hongliang Ren",68-78,10.1007/978-3-031-43996-4_7,2023,09
594,Intra-operative Forecasting of Standing Spine Shape with Articulated Neural Kernel Fields,"Sylvain Thibeault, Stefan Parent, Samuel Kadoury",79-89,10.1007/978-3-031-43996-4_8,2023,09
595,Rectifying Noisy Labels with Sequential Prior: Multi-scale Temporal Feature Affinity Learning for Robust Video Segmentation,"Beilei Cui, Minqing Zhang, Mengya Xu, An Wang, Wu Yuan, Hongliang Ren",90-100,10.1007/978-3-031-43996-4_9,2023,09
596,Foundation Model for Endoscopy Video Analysis via Large-Scale Self-supervised Pre-train,"Zhao Wang, Chang Liu, Shaoting Zhang, Qi Dou",101-111,10.1007/978-3-031-43996-4_10,2023,09
597,Point Cloud Diffusion Models for Automatic Implant Generation,"Paul Friedrich, Julia Wolleb, Florentin Bieder, Florian M. Thieringer, Philippe C. Cattin",112-122,10.1007/978-3-031-43996-4_11,2023,09
598,A Novel Video-CTU Registration Method with Structural Point Similarity for FURS Navigation,"Mingxian Yang, Yinran Chen, Bei Li, Zhiyuan Liu, Song Zheng, Jianhui Chen et al.",123-132,10.1007/978-3-031-43996-4_12,2023,09
599,Pelphix: Surgical Phase Recognition from X-Ray Images in Percutaneous Pelvic Fixation,"Benjamin D. Killeen, Han Zhang, Jan Mangulabnan, Mehran Armand, Russell H. Taylor, Greg Osgood et al.",133-143,10.1007/978-3-031-43996-4_13,2023,09
600,TCL: Triplet Consistent Learning for Odometry Estimation of Monocular Endoscope,"Hao Yue, Yun Gu",144-153,10.1007/978-3-031-43996-4_14,2023,09
601,Regressing Simulation to Real: Unsupervised Domain Adaptation for Automated Quality Assessment in Transoesophageal Echocardiography,"Jialang Xu, Yueming Jin, Bruce Martin, Andrew Smith, Susan Wright, Danail Stoyanov et al.",154-164,10.1007/978-3-031-43996-4_15,2023,09
602,Estimated Time to Surgical Procedure Completion: An Exploration of Video Analysis Methods,"Barak Ariel, Yariv Colbeci, Judith Rapoport Ferman, Dotan Asselmann, Omri Bar",165-175,10.1007/978-3-031-43996-4_16,2023,09
603,A Transfer Learning Approach to Localising a Deep Brain Stimulation Target,"Ying-Qiu Zheng, Harith Akram, Stephen Smith, Saad Jbabdi",176-185,10.1007/978-3-031-43996-4_17,2023,09
